SSH key found in project metadata; not updating instance.
SSH: Attempting to connect to worker 0...
SSH: Attempting to connect to worker 1...
SSH: Attempting to connect to worker 2...
SSH: Attempting to connect to worker 3...
Hardware: 16 devices across 4 processes. Platform: tpu
AST Zero-Transcendental Audit: PASS
Distributed Mesh Topology: OrderedDict([('data', 2), ('fsdp', 2), ('model', 4)])

==================== Starting Pretraining: StandardTransformerLM (100000 steps) ====================
[StandardTransformerLM] Step  20500/100000 | Loss: 3.2827 | Grad Norm: 0.338 | Throughput: 2,478,274 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  21000/100000 | Loss: 3.2915 | Grad Norm: 0.328 | Throughput: 2,473,739 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  21500/100000 | Loss: 3.2848 | Grad Norm: 0.335 | Throughput: 2,472,439 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step  22000/100000 | Loss: 3.2419 | Grad Norm: 0.323 | Throughput: 2,476,806 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  22500/100000 | Loss: 3.3822 | Grad Norm: 0.323 | Throughput: 2,482,529 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  23000/100000 | Loss: 3.3127 | Grad Norm: 0.320 | Throughput: 2,477,994 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  23500/100000 | Loss: 3.3398 | Grad Norm: 0.320 | Throughput: 2,488,881 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  24000/100000 | Loss: 3.2754 | Grad Norm: 0.318 | Throughput: 2,497,818 tok/s | Step time: 13.1ms
[StandardTransformerLM] Step  24500/100000 | Loss: 3.2411 | Grad Norm: 0.331 | Throughput: 2,496,134 tok/s | Step time: 13.1ms
[StandardTransformerLM] Step  25000/100000 | Loss: 3.3068 | Grad Norm: 0.322 | Throughput: 2,494,942 tok/s | Step time: 13.1ms
[StandardTransformerLM] Step  25500/100000 | Loss: 3.2589 | Grad Norm: 0.333 | Throughput: 2,491,020 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  26000/100000 | Loss: 3.2272 | Grad Norm: 0.309 | Throughput: 2,489,453 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  26500/100000 | Loss: 3.4065 | Grad Norm: 0.338 | Throughput: 2,489,597 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  27000/100000 | Loss: 3.3323 | Grad Norm: 0.332 | Throughput: 2,487,088 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  27500/100000 | Loss: 3.2619 | Grad Norm: 0.347 | Throughput: 2,477,407 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  28000/100000 | Loss: 3.2172 | Grad Norm: 0.326 | Throughput: 2,479,967 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  28500/100000 | Loss: 3.3387 | Grad Norm: 0.330 | Throughput: 2,479,495 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  29000/100000 | Loss: 3.1462 | Grad Norm: 0.320 | Throughput: 2,481,324 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  29500/100000 | Loss: 3.3162 | Grad Norm: 0.327 | Throughput: 2,477,325 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  30000/100000 | Loss: 3.2195 | Grad Norm: 0.319 | Throughput: 2,472,567 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step  30500/100000 | Loss: 3.2683 | Grad Norm: 0.321 | Throughput: 2,471,319 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step  31000/100000 | Loss: 3.2709 | Grad Norm: 0.330 | Throughput: 2,474,244 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  31500/100000 | Loss: 3.2257 | Grad Norm: 0.318 | Throughput: 2,476,902 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  32000/100000 | Loss: 3.3205 | Grad Norm: 0.316 | Throughput: 2,478,005 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  32500/100000 | Loss: 3.1979 | Grad Norm: 0.317 | Throughput: 2,473,441 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  33000/100000 | Loss: 3.1903 | Grad Norm: 0.321 | Throughput: 2,474,371 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  33500/100000 | Loss: 3.2388 | Grad Norm: 0.321 | Throughput: 2,473,970 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  34000/100000 | Loss: 3.0875 | Grad Norm: 0.310 | Throughput: 2,479,077 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  34500/100000 | Loss: 3.2240 | Grad Norm: 0.333 | Throughput: 2,478,762 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  35000/100000 | Loss: 3.2393 | Grad Norm: 0.320 | Throughput: 2,479,904 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  35500/100000 | Loss: 3.1643 | Grad Norm: 0.312 | Throughput: 2,482,311 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  36000/100000 | Loss: 3.2206 | Grad Norm: 0.322 | Throughput: 2,480,251 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  36500/100000 | Loss: 3.1281 | Grad Norm: 0.325 | Throughput: 2,481,699 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  37000/100000 | Loss: 3.1440 | Grad Norm: 0.316 | Throughput: 2,481,569 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  37500/100000 | Loss: 3.1503 | Grad Norm: 0.319 | Throughput: 2,483,821 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  38000/100000 | Loss: 3.2111 | Grad Norm: 0.332 | Throughput: 2,487,340 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  38500/100000 | Loss: 3.1674 | Grad Norm: 0.330 | Throughput: 2,489,508 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  39000/100000 | Loss: 3.1212 | Grad Norm: 0.320 | Throughput: 2,492,677 tok/s | Step time: 13.1ms
[StandardTransformerLM] Step  39500/100000 | Loss: 3.2654 | Grad Norm: 0.315 | Throughput: 2,493,220 tok/s | Step time: 13.1ms
[StandardTransformerLM] Step  40000/100000 | Loss: 3.1387 | Grad Norm: 0.314 | Throughput: 2,493,594 tok/s | Step time: 13.1ms
[StandardTransformerLM] Step  40500/100000 | Loss: 3.1330 | Grad Norm: 0.326 | Throughput: 2,490,261 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  41000/100000 | Loss: 3.1365 | Grad Norm: 0.317 | Throughput: 2,487,230 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  41500/100000 | Loss: 3.2054 | Grad Norm: 0.318 | Throughput: 2,483,194 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  42000/100000 | Loss: 3.1152 | Grad Norm: 0.329 | Throughput: 2,477,788 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  42500/100000 | Loss: 3.2196 | Grad Norm: 0.330 | Throughput: 2,484,433 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  43000/100000 | Loss: 3.1983 | Grad Norm: 0.327 | Throughput: 2,482,923 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  43500/100000 | Loss: 3.0643 | Grad Norm: 0.315 | Throughput: 2,486,708 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  44000/100000 | Loss: 3.1651 | Grad Norm: 0.316 | Throughput: 2,486,377 tok/s | Step time: 13.2ms
